date,close,open,high,low,volume
2010-01-04,7.643207,7.622492,7.660707,7.584992,493728693.728694
2010-01-05,7.656421,7.664278,7.699635,7.616064,601904617.904618
2010-01-06,7.534635,7.656421,7.686778,7.526778,552158928.158928
2010-01-07,7.520707,7.562492,7.571421,7.466064,477129773.129773
2010-01-08,7.570707,7.510707,7.571421,7.466421,447876771.876772
2010-01-11,7.503921,7.599992,7.607135,7.444635,462229922.229922
2010-01-12,7.418564,7.471064,7.491778,7.372135,594459690.45969
2010-01-13,7.523207,7.423921,7.533207,7.289278,605889945.889946
2010-01-14,7.479635,7.503921,7.516421,7.464993,433154077.154077
2010-01-15,7.354636,7.533207,7.557135,7.352493,594336854.336854
2010-01-19,7.679992,7.44035,7.685349,7.401421,730007210.00721
2010-01-20,7.5616,7.675349,7.698207,7.482135,612152180.15218
2010-01-21,7.431135,7.574278,7.618342,7.40035,608154868.154868
2010-01-22,7.062493,7.384993,7.410707,7.041422,881768369.76837
2010-01-25,7.252671,7.232493,7.310707,7.149636,1065700273.700274
2010-01-26,7.354993,7.35535,7.632492,7.234993,1867111811.111811
2010-01-27,7.424421,7.387493,7.520707,7.1261,1722569842.569843
2010-01-28,7.117493,7.318921,7.339278,7.096421,1173502677.502678
2010-01-29,6.859386,7.181421,7.221421,6.794636,1245952385.952386
2010-02-01,6.954636,6.87035,6.999993,6.832136,749874433.874434
2010-02-02,6.994993,6.996779,7.011422,6.906422,698341950.34195
2010-02-03,7.11535,6.97035,7.149993,6.943564,615327691.327691
2010-02-04,6.858922,7.026064,7.084636,6.841779,757651805.651806
2010-02-05,6.980707,6.879457,6.999993,6.816065,850306250.30625
2010-02-08,6.93285,6.988922,7.067136,6.928565,478268954.268954
2010-02-09,7.006779,7.014993,7.053564,6.95535,632884744.884745
2010-02-10,6.968422,6.996064,7.021422,6.93785,370361242.361242
2010-02-11,7.09535,6.959993,7.133921,6.930707,550344162.344162
2010-02-12,7.156421,7.07535,7.201421,6.982136,655468279.468279
2010-02-16,7.264278,7.212136,7.274636,7.197136,543951587.951588
2010-02-17,7.233921,7.292493,7.296778,7.173564,436395276.395276
2010-02-18,7.247421,7.201064,7.281778,7.175707,422824866.824867
2010-02-19,7.202493,7.209279,7.257136,7.182493,415734279.73428
2010-02-22,7.157707,7.226421,7.232136,7.113921,390825062.825063
2010-02-23,7.037814,7.14285,7.19035,6.989636,575313467.313467
2010-02-24,7.166279,7.079636,7.194279,7.065707,460565964.565965
2010-02-25,7.214279,7.049279,7.244993,7.031779,665396949.396949
2010-02-26,7.30785,7.22785,7.327493,7.214279,507460747.460747
2010-03-01,7.463921,7.348207,7.482135,7.337493,550093282.093282
2010-03-02,7.458921,7.497493,7.529635,7.419278,566545174.545175
2010-03-03,7.476064,7.462135,7.49535,7.426421,372239148.239148
2010-03-04,7.52535,7.474278,7.53285,7.451064,366040110.04011
2010-03-05,7.819635,7.676421,7.846421,7.665349,899619311.619312
2010-03-08,7.824278,7.857492,7.860349,7.794635,429889385.889386
2010-03-09,7.964992,7.796778,8.035706,7.781778,920259560.25956
2010-03-10,8.029992,7.993903,8.052849,7.971421,596217168.217168
2010-03-11,8.053563,7.996778,8.053563,7.975706,405698957.698958
2010-03-12,8.092849,8.120349,8.133206,8.062492,416322896.322896
2010-03-15,7.994278,8.049278,8.053563,7.866064,493500857.500858
2010-03-16,8.016063,8.006421,8.034992,7.946778,446906990.906991
2010-03-17,8.004278,8.032135,8.087492,7.973921,450956438.956439
2010-03-18,8.023206,8.003563,8.035706,7.950349,342108794.108794
2010-03-19,7.937488,8.028206,8.044278,7.901064,559445151.445151
2010-03-22,8.026778,7.873921,8.071421,7.862492,456418992.418992
2010-03-23,8.155706,8.058563,8.170706,8.003563,602429310.42931
2010-03-24,8.191778,8.129992,8.22142,8.125349,598281526.281526
2010-03-25,8.094635,8.247135,8.24892,8.080349,543267239.267239
2010-03-26,8.24642,8.176778,8.28392,8.162492,640873180.873181
2010-03-29,8.299635,8.32142,8.352488,8.272135,540743680.743681
2010-03-30,8.423027,8.450088,8.48142,8.366063,527309827.309827
2010-03-31,8.392849,8.410349,8.450349,8.373563,430658658.658659
2010-04-01,8.427492,8.481777,8.526063,8.312492,603144599.144599
2010-04-05,8.517491,8.391956,8.518206,8.384634,684505960.505961
2010-04-06,8.554991,8.507134,8.579991,8.464277,447017199.017199
2010-04-07,8.592849,8.56142,8.639991,8.523566,628500752.500753
2010-04-08,8.569634,8.587134,8.62642,8.50142,572987056.987057
2010-04-09,8.635349,8.622491,8.63892,8.587849,334182910.18291
2010-04-12,8.653206,8.649991,8.681063,8.636063,333215677.215677
2010-04-13,8.658206,8.637849,8.67142,8.611063,306210406.210406
2010-04-14,8.774634,8.759991,8.77892,8.716777,404074620.07462
2010-04-15,8.889991,8.777848,8.89392,8.768206,376784056.784057
2010-04-16,8.835705,8.877491,8.969277,8.73392,750544614.544615
2010-04-19,8.82392,8.822491,8.853205,8.634634,566922530.922531
2010-04-20,8.735348,8.87642,8.901777,8.676956,738324646.324646
2010-04-21,9.257848,9.243026,9.294634,9.133205,982392182.392182
2010-04-22,9.516758,9.222848,9.526776,9.149991,793424053.424053
2010-04-23,9.67249,9.571062,9.720705,9.535705,796954212.954213
2010-04-26,9.62499,9.70999,9.730705,9.578205,479068523.068523
2010-04-27,9.358562,9.545348,9.565705,9.304276,709342405.342405
2010-04-28,9.342848,9.401776,9.428562,9.157491,758400638.400638
2010-04-29,9.594276,9.393562,9.642848,9.357491,558839538.839539
2010-04-30,9.324634,9.618205,9.663205,9.321419,542463246.463246
2010-05-03,9.51249,9.422848,9.567133,9.388562,454340578.340578
2010-05-04,9.238562,9.388919,9.403205,9.169634,723820043.820044
2010-05-05,9.142312,9.036777,9.219276,8.883205,883104027.104027
2010-05-06,8.794634,9.065348,9.223205,7.116064,1285860853.860854
2010-05-07,8.423563,8.70392,8.806063,8.043206,1676018844.018844
2010-05-10,9.071062,8.937491,9.094634,8.876063,984305816.305816
2010-05-11,9.161419,8.994277,9.281776,8.94642,850352086.352086
2010-05-12,9.360348,9.258741,9.397491,9.239276,654378154.378154
2010-05-13,9.227134,9.400705,9.464276,9.157134,599710703.710704
2010-05-14,9.064991,9.113027,9.159991,8.910705,759362187.362187
2010-05-17,9.079277,9.096419,9.149277,8.846777,762833770.833771
2010-05-18,9.012848,9.177848,9.233919,8.937848,782676606.676607
2010-05-19,8.869277,8.910705,9.032848,8.744634,1025726649.72665
2010-05-20,8.49142,8.638563,8.70892,8.436063,1282916230.916231
2010-05-21,8.654277,8.314992,8.732134,8.262492,1223908243.908244
2010-05-24,8.812848,8.83142,8.960705,8.794991,754246190.24619
2010-05-25,8.757848,8.548206,8.812848,8.469992,1048014476.014476
2010-05-26,8.71817,8.93142,9.004634,8.705348,850657426.657427
2010-05-27,9.048205,8.949991,9.067491,8.896777,666302022.302022
2010-05-28,9.174277,9.263851,9.264276,9.048205,815613683.613684
2010-06-01,9.315348,9.274634,9.497848,9.248562,876474404.474404
2010-06-02,9.426776,9.447848,9.457133,9.297669,688546784.546785
2010-06-03,9.397133,9.470705,9.483919,9.300348,650157906.157906
2010-06-04,9.141598,9.221776,9.353562,9.093919,758442526.442526
2010-06-07,8.962134,9.224634,9.255348,8.948205,886983038.983039
2010-06-08,8.904634,9.044277,9.064277,8.773206,1000769076.769077
2010-06-09,8.685706,8.981062,8.99642,8.660348,854629538.629539
2010-06-10,8.946777,8.744277,8.963562,8.649991,776356524.356524
2010-06-11,9.05392,8.86517,9.06642,8.834634,545760081.760082
2010-06-14,9.081419,9.141419,9.255348,9.071777,602961002.961003
2010-06-15,9.274634,9.129991,9.280348,9.124991,585073773.073773
2010-06-16,9.544633,9.324991,9.56249,9.308212,783690263.690264
2010-06-17,9.709633,9.664276,9.746419,9.62499,873461797.461797
2010-06-18,9.788347,9.723205,9.821419,9.693562,784620564.620565
2010-06-21,9.648919,9.91749,9.964633,9.59749,776490588.490588
2010-06-22,9.780347,9.71999,9.856062,9.696419,717260701.260701
2010-06-23,9.67749,9.806419,9.809276,9.567848,768455700.4557
2010-06-24,9.607133,9.678562,9.756955,9.57499,715131971.131971
2010-06-25,9.52499,9.64499,9.65249,9.493205,549941633.941634
2010-06-28,9.582133,9.533205,9.633919,9.447133,585433601.433601
2010-06-29,9.148919,9.432866,9.442491,9.082134,1133345653.345653
2010-06-30,8.983205,9.168205,9.213205,8.92892,739468979.468979
2010-07-01,8.874277,9.082134,9.099991,8.68642,1022953582.953583
2010-07-02,8.819277,8.946062,8.961777,8.685706,694498218.498218
2010-07-06,8.879634,8.964277,9.028562,8.79142,615235319.235319
2010-07-07,9.238026,8.946062,9.241776,8.919634,654559902.559903
2010-07-08,9.217491,9.374276,9.389276,9.103205,738151382.151382
2010-07-09,9.272134,9.174634,9.282134,9.112848,433574581.574582
2010-07-12,9.188741,9.233205,9.351776,9.102134,562877506.877507
2010-07-13,8.992777,9.154277,9.157134,8.801063,1190955822.955823
2010-07-14,9.025955,8.90642,9.135705,8.892848,812171948.171948
2010-07-15,8.980348,8.865348,9.177491,8.832134,824864220.864221
2010-07-16,8.924991,9.042134,9.106062,8.871777,1039858543.858544
2010-07-19,8.770706,8.924277,8.924277,8.557134,1024498960.49896
2010-07-20,8.996062,8.674991,9.032134,8.571777,1074951118.951119
2010-07-21,9.079991,9.467491,9.469633,9.07142,1185670873.670874
2010-07-22,9.250848,9.202848,9.285705,9.118205,645317933.317933
2010-07-23,9.283562,9.181777,9.299276,9.152848,533387177.387177
2010-07-26,9.259991,9.285705,9.289269,9.203919,420550228.550229
2010-07-27,9.431419,9.316776,9.457133,9.296419,584771148.771149
2010-07-28,9.319991,9.416776,9.499633,9.294634,519984879.98488
2010-07-29,9.218205,9.311062,9.380348,9.146419,643806183.806184
2010-07-30,9.187491,9.139009,9.274991,9.103562,448456288.456288
2010-08-02,9.351776,9.301419,9.378205,9.272134,428084532.084532
2010-08-03,9.354634,9.321776,9.402133,9.264991,417653289.65329
2010-08-04,9.392133,9.387133,9.438562,9.296812,420556724.556725
2010-08-05,9.346419,9.347491,9.399276,9.305348,289362761.362761
2010-08-06,9.288955,9.277848,9.338919,9.201062,445013685.013685
2010-08-09,9.348205,9.338562,9.362491,9.270348,303125727.125727
